card_id,total_txn,fraud_txn,fraud_rate,avg_amount,card4,card6
1000-555.0-185.0,1,0,0.0,23.44,mastercard,debit
10000-111.0-150.0,1,0,0.0,29.0,mastercard,debit
10003-555.0-128.0,4,0,0.0,22.08,visa,debit
10003-NA-NA,1,0,0.0,42.78,,
10004-529.0-150.0,31,1,0.032258,334.79,visa,credit
10005-399.0-150.0,4,0,0.0,181.25,american express,credit
10006-390.0-150.0,1,0,0.0,50.0,mastercard,credit
10007-555.0-150.0,17,0,0.0,88.39,visa,debit
10007-NA-NA,1,0,0.0,186.0,,
10008-555.0-150.0,6,0,0.0,51.97,visa,debit
10009-363.0-150.0,32,0,0.0,171.94,visa,debit
1001-555.0-150.0,3,0,0.0,79.67,visa,debit
10010-555.0-150.0,2,0,0.0,103.97,visa,debit
10011-319.0-150.0,91,39,0.428571,106.41,visa,debit
10011-NA-NA,1,1,1.0,77.0,,
10012-555.0-150.0,5,0,0.0,52.3,visa,debit
10013-399.0-150.0,2,0,0.0,75.0,american express,credit
10015-310.0-150.0,2,0,0.0,123.0,mastercard,debit
10016-480.0-150.0,1,0,0.0,226.0,mastercard,debit
10016-512.0-150.0,1,0,0.0,49.0,mastercard,debit
10017-399.0-150.0,4,0,0.0,156.25,american express,credit
10018-369.0-150.0,4,0,0.0,82.61,mastercard,debit
10019-590.0-150.0,90,1,0.011111,91.84,mastercard,debit
10020-399.0-150.0,3,0,0.0,116.67,american express,credit
10021-555.0-150.0,6,0,0.0,411.89,visa,debit
10022-555.0-117.0,1,0,0.0,27.75,mastercard,debit
10023-111.0-150.0,2421,42,0.017348,122.58,visa,debit
10023-NA-NA,7,1,0.142857,144.7,,
10024-321.0-150.0,98,7,0.071429,215.66,visa,credit
10025-127.0-150.0,5,0,0.0,102.95,mastercard,debit
10027-101.0-150.0,156,0,0.0,130.92,visa,debit
10028-512.0-150.0,1,0,0.0,29.0,mastercard,debit
10029-111.0-150.0,39,0,0.0,111.34,mastercard,debit
10032-399.0-150.0,6,0,0.0,166.67,american express,credit
10034-399.0-150.0,14,1,0.071429,171.43,american express,credit
10035-321.0-150.0,9,0,0.0,99.33,visa,debit
10036-399.0-150.0,5,0,0.0,135.0,american express,credit
10037-300.0-150.0,37,0,0.0,146.74,visa,credit
10038-216.0-150.0,15,0,0.0,272.76,mastercard,credit
10039-555.0-150.0,1,0,0.0,29.0,visa,debit
1004-583.0-150.0,5,0,0.0,136.4,visa,credit
10040-555.0-223.0,1,0,0.0,89.42,visa,debit
10041-455.0-150.0,10,0,0.0,97.78,mastercard,debit
10042-399.0-150.0,2,0,0.0,125.0,american express,credit
10043-480.0-150.0,10,0,0.0,135.0,mastercard,debit
10043-512.0-150.0,22,0,0.0,124.59,mastercard,debit
10044-225.0-150.0,3,0,0.0,74.97,mastercard,debit
10045-114.0-150.0,101,1,0.009901,111.05,visa,debit
10047-111.0-150.0,56,5,0.089286,195.48,visa,credit
