device_id,total_txn,fraud_txn,fraud_rate,device_type,device_info
desktop-ALCATEL ONE TOUCH 7040A Build/JDQ39,1,0,0.0,desktop,ALCATEL ONE TOUCH 7040A Build/JDQ39
desktop-ALE-L21 Build/HuaweiALE-L21,1,0,0.0,desktop,ALE-L21 Build/HuaweiALE-L21
desktop-ALE-L23 Build/HuaweiALE-L23,4,0,0.0,desktop,ALE-L23 Build/HuaweiALE-L23
desktop-Blade L5 Build/LMY47I,1,0,0.0,desktop,Blade L5 Build/LMY47I
desktop-Blade V6 Build/LRX22G,1,0,0.0,desktop,Blade V6 Build/LRX22G
desktop-CHC-U03 Build/HuaweiCHC-U03,2,2,1.0,desktop,CHC-U03 Build/HuaweiCHC-U03
desktop-D5503,1,0,0.0,desktop,D5503
desktop-GT-I9060M Build/KTU84P,1,0,0.0,desktop,GT-I9060M Build/KTU84P
desktop-GT-N5110 Build/JDQ39,1,0,0.0,desktop,GT-N5110 Build/JDQ39
desktop-HTC One mini Build/KOT49H,1,0,0.0,desktop,HTC One mini Build/KOT49H
desktop-HUAWEI GRA-L09 Build/HUAWEIGRA-L09,1,0,0.0,desktop,HUAWEI GRA-L09 Build/HUAWEIGRA-L09
desktop-Ilium Pad T7X Build/LMY47I,1,1,1.0,desktop,Ilium Pad T7X Build/LMY47I
desktop-Intel,1,0,0.0,desktop,Intel
desktop-KFGIWI Build/LVY48F,1,0,0.0,desktop,KFGIWI Build/LVY48F
desktop-KFTHWI Build/KTU84M,1,0,0.0,desktop,KFTHWI Build/KTU84M
desktop-LG-D320 Build/KOT49I.V10a,9,9,1.0,desktop,LG-D320 Build/KOT49I.V10a
desktop-LG-D693n Build/LRX22G,2,0,0.0,desktop,LG-D693n Build/LRX22G
desktop-LG-X180g Build/LMY47I,1,0,0.0,desktop,LG-X180g Build/LMY47I
desktop-LG-X210 Build/LMY47I,1,0,0.0,desktop,LG-X210 Build/LMY47I
desktop-LG-X220 Build/LMY47I,1,0,0.0,desktop,LG-X220 Build/LMY47I
desktop-Lenovo,1,0,0.0,desktop,Lenovo
desktop-LenovoA3300-GV Build/JDQ39,1,0,0.0,desktop,LenovoA3300-GV Build/JDQ39
desktop-Linux i686,3,0,0.0,desktop,Linux i686
desktop-Linux x86_64,17,0,0.0,desktop,Linux x86_64
desktop-M4 SS4456 Build/LMY47V,2,0,0.0,desktop,M4 SS4456 Build/LMY47V
desktop-MAMI,2,0,0.0,desktop,MAMI
desktop-MDDRJS,7,0,0.0,desktop,MDDRJS
desktop-MacOS,2498,63,0.02522,desktop,MacOS
desktop-Moto,6,0,0.0,desktop,Moto
desktop-Moto E (4) Build/NDQS26.69-64-2,1,0,0.0,desktop,Moto E (4) Build/NDQS26.69-64-2
desktop-Moto E (4) Build/NMA26.42-19,10,0,0.0,desktop,Moto E (4) Build/NMA26.42-19
desktop-Moto E (4) Build/NMA26.42-69,13,2,0.153846,desktop,Moto E (4) Build/NMA26.42-69
desktop-Moto E (4) Plus Build/NMA26.42-11-3,1,0,0.0,desktop,Moto E (4) Plus Build/NMA26.42-11-3
desktop-Moto E (4) Plus Build/NMA26.42-69,22,6,0.272727,desktop,Moto E (4) Plus Build/NMA26.42-69
desktop-Moto G (4) Build/NPJ25.93-14.5,1,0,0.0,desktop,Moto G (4) Build/NPJ25.93-14.5
desktop-Moto G (4) Build/NPJ25.93-14.7,25,10,0.4,desktop,Moto G (4) Build/NPJ25.93-14.7
desktop-Moto G (4) Build/NPJS25.93-14-10,4,3,0.75,desktop,Moto G (4) Build/NPJS25.93-14-10
desktop-Moto G (4) Build/NPJS25.93-14-13,11,1,0.090909,desktop,Moto G (4) Build/NPJS25.93-14-13
desktop-Moto G (4) Build/NPJS25.93-14-15,8,0,0.0,desktop,Moto G (4) Build/NPJS25.93-14-15
desktop-Moto G (4) Build/NPJS25.93-14-8.1-4,3,2,0.666667,desktop,Moto G (4) Build/NPJS25.93-14-8.1-4
desktop-Moto G (5) Build/NPP25.137-15,1,1,1.0,desktop,Moto G (5) Build/NPP25.137-15
desktop-Moto G (5) Build/NPP25.137-38,1,0,0.0,desktop,Moto G (5) Build/NPP25.137-38
desktop-Moto G (5) Build/NPP25.137-72,5,0,0.0,desktop,Moto G (5) Build/NPP25.137-72
desktop-Moto G (5) Build/NPP25.137-82,8,3,0.375,desktop,Moto G (5) Build/NPP25.137-82
desktop-Moto G (5) Build/NPP25.137-93,18,0,0.0,desktop,Moto G (5) Build/NPP25.137-93
desktop-Moto G (5) Build/NPPS25.137-15-11,5,0,0.0,desktop,Moto G (5) Build/NPPS25.137-15-11
desktop-Moto G (5) Plus Build/NPN25.137-72,6,0,0.0,desktop,Moto G (5) Plus Build/NPN25.137-72
desktop-Moto G (5) Plus Build/NPN25.137-82,8,2,0.25,desktop,Moto G (5) Plus Build/NPN25.137-82
desktop-Moto G (5) Plus Build/NPN25.137-92,10,1,0.1,desktop,Moto G (5) Plus Build/NPN25.137-92
desktop-Moto G (5) Plus Build/NPNS25.137-15-11,3,0,0.0,desktop,Moto G (5) Plus Build/NPNS25.137-15-11
desktop-Moto G (5) Plus Build/NPNS25.137-92-4,3,0,0.0,desktop,Moto G (5) Plus Build/NPNS25.137-92-4
desktop-Moto G (5) Plus Build/NPNS25.137-92-8,4,0,0.0,desktop,Moto G (5) Plus Build/NPNS25.137-92-8
desktop-Moto G (5S,1,0,0.0,desktop,Moto G (5S
desktop-Moto Z (2,7,0,0.0,desktop,Moto Z (2
desktop-NX521J,1,0,0.0,desktop,NX521J
desktop-NetHelper70,1,0,0.0,desktop,NetHelper70
desktop-Nexus,1,0,0.0,desktop,Nexus
desktop-Northwell,1,0,0.0,desktop,Northwell
desktop-PULP 4G Build/LMY47V,2,0,0.0,desktop,PULP 4G Build/LMY47V
desktop-SAMSUNG,2,0,0.0,desktop,SAMSUNG
desktop-SAMSUNG SM-G531H Build/LMY48B,1,0,0.0,desktop,SAMSUNG SM-G531H Build/LMY48B
desktop-SAMSUNG SM-G900M Build/LRX21T,1,0,0.0,desktop,SAMSUNG SM-G900M Build/LRX21T
desktop-SAMSUNG SM-J120H Build/LMY47V,2,0,0.0,desktop,SAMSUNG SM-J120H Build/LMY47V
desktop-SAMSUNG SM-J320M Build/LMY47V,3,0,0.0,desktop,SAMSUNG SM-J320M Build/LMY47V
desktop-SAMSUNG SM-J700M Build/LMY48B,1,0,0.0,desktop,SAMSUNG SM-J700M Build/LMY48B
desktop-SAMSUNG-SM-G530AZ Build/LMY48B,1,0,0.0,desktop,SAMSUNG-SM-G530AZ Build/LMY48B
